,ao_link,lat,lon,itemLabel,description,tier,color
1,https://www.atlasobscura.com/places/basilica-cisterns-istanbul,41.008382,28.977883,Basilica Cisterns of Istanbul,A marvel of Byzantine engineering under the streets of Istanbul.,atlas_obscura,gold
4,https://www.atlasobscura.com/places/ottoman-bird-palaces,41.024593,29.015021,Ottoman Bird Palaces,The ornate miniature mansions were built for Istanbul's feathered residents.,atlas_obscura,gold
6,https://www.atlasobscura.com/places/tombili,40.989004,29.041673,Tombili,"A meow-velous tribute to a beloved street cat, made famous on the internet.",atlas_obscura,gold
7,https://www.atlasobscura.com/places/viking-runes-at-hagia-sophia,41.008583,28.980175,Viking Runes at Hagia Sophia,A small etching on the white marble parapet was written in runic script by a Viking mercenary.,atlas_obscura,gold
9,https://www.atlasobscura.com/places/tombs-of-the-sultans,41.008566,28.980169,Tombs of the Sultans,"Five sultans and their families rest in eternal splendor, teeming with overlooked beauty and drama.",atlas_obscura,gold
12,https://www.atlasobscura.com/places/obelisk-of-theodosius,41.005887,28.975423,Obelisk of Theodosius,This remarkably well-preserved Egyptian plinth is pretty well traveled for a giant piece of stone.,atlas_obscura,gold
14,https://www.atlasobscura.com/places/hagia-sophia-wishing-column,41.00836,28.979376,Hagia Sophia Wishing Column,"Legend says if you stick your thumb in the hole and it gets wet, your wish will be granted.",atlas_obscura,gold
15,https://www.atlasobscura.com/places/camondo-stairs,41.023959,28.973743,Camondo Stairs,"A gorgeous, Gaudí-esque stairway constructed in the city of Istanbul by a prominent Jewish family.",atlas_obscura,gold
16,https://www.atlasobscura.com/places/minyat-r-s-nautical-instruments,41.010822,28.968451,Minyatür’s Nautical Instruments,Turkish adventurer antiques in the heart of the Grand Bazaar.,atlas_obscura,gold
18,https://www.atlasobscura.com/places/nakilbent-cistern,41.004113,28.975099,Nakilbent Cistern,A sixth-century Byzantine cistern hidden below a modern carpet store.,atlas_obscura,gold
22,https://www.atlasobscura.com/places/piri-reis-map-at-topkapi-palace,41.011495,28.983334,Piri Reis Map at Topkapi Palace,"1513 Turkish world map, full of European state secrets and snarky commentary.",atlas_obscura,gold
23,https://www.atlasobscura.com/places/flora-han,41.014429,28.974718,Vlora Hanı,An Art Nouveau gem hides beneath the layers of city grime obscuring this once-magnificent building.,atlas_obscura,gold
24,https://www.atlasobscura.com/places/pudding-shop-lale-restaurant,41.008103,28.977192,Pudding Shop (Lale Restaurant),"This crucial gathering spot along the ""hippie trail"" still displays old notes between traveling beatniks and backpackers.",atlas_obscura,gold
28,https://www.atlasobscura.com/places/panorama-1453-museum,41.017994,28.920393,Panorama 1453 Museum,Step back in time and witness the fall of Constantinople.,atlas_obscura,gold
30,https://www.atlasobscura.com/places/st-stephen-bulgarian-iron-church,41.031944,28.949722,St. Stephen Bulgarian Iron Church,"The most metal church of all time was built in record time because of an international, pious pissing contest.",atlas_obscura,gold
31,https://www.atlasobscura.com/places/tunel,41.02276,28.97369,Tünel,Climb a steep hill in 90 seconds on the second-oldest urban subway in the world.,atlas_obscura,gold
32,https://www.atlasobscura.com/places/the-museum-of-innocence-2-istanbul-turkey,41.030724,28.979736,The Museum of Innocence,This museum was invented in a novel before being made real by the author.,atlas_obscura,gold
36,https://www.atlasobscura.com/places/rumeli-hisari,41.084822,29.056698,Rumeli Hisari,This half-forgotten fortress was constructed by the Ottoman conqueror of Constantinople.,atlas_obscura,gold
38,https://www.atlasobscura.com/places/miniaturk,41.059388,28.948883,Miniaturk,Large miniature theme park with 100-plus models.,atlas_obscura,gold
40,https://www.atlasobscura.com/places/kaiser-wilhelm-fountain,41.007075,28.976676,Kaiser Wilhelm Fountain,A fountain standing as a testament to a doomed alliance.,atlas_obscura,gold
41,https://www.atlasobscura.com/places/pierre-loti-hill,41.054438,28.933372,Pierre Loti Hill,Have tea in a cemetery with a dazzling view of Istanbul.,atlas_obscura,gold
